"MODEL","SCENARIO","REGION","VARIABLE","UNIT","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050"
"AIM/Enduse[Japan]","Baseline","Japan","Primary Energy|Wind","EJ/yr",0.00611795385511391,0.013550946253797,0.0208365681163939,0.0370626401017305,0.066498900062123,0.0993966479961163,0.17798781153683,0.271546580246225,0.37222367871605,0.469851231233926
"AIM/Enduse[Japan]","Baseline","Japan","Secondary Energy|Electricity","PWh/yr",0.97895636,0.9979,0.96304735167502,0.97642011909577,0.97496443687594,0.99052779207804,1.05464735098666,1.12095293043607,1.18413210452449,1.25560986543855
"AIM/Enduse[Japan]","Baseline","Japan","Secondary Energy|Electricity|Biomass","PWh/yr",0,0,0.00139048004369,0.00095305870574,0.00264464005419,0,0,0,0,0
"AIM/Enduse[Japan]","Baseline","Japan","Secondary Energy|Electricity|Biomass|w/ CCS","PWh/yr",0,0,0,0,0,0,0,0,0,0
"AIM/Enduse[Japan]","Baseline","Japan","Secondary Energy|Electricity|Biomass|w/o CCS","PWh/yr",0,0,0.00139048004369,0.00095305870574,0.00264464005419,0,0,0,0,0
"AIM/Enduse[Japan]","Baseline","Japan","Secondary Energy|Electricity|Coal","PWh/yr",0.25294267,0.2511,0.27045433520524,0.26983028703632,0.26454786046368,0.36363058705174,0.47516161930366,0.59501280692565,0.64203412727498,0.72222406944828
"AIM/Enduse[Japan]","Baseline","Japan","Secondary Energy|Electricity|Coal|w/ CCS","PWh/yr",0,0,0,0,0,0,0,0,0,0
"AIM/Enduse[Japan]","Baseline","Japan","Secondary Energy|Electricity|Coal|w/o CCS","PWh/yr",0.25294267,0.2511,0.27045433520524,0.26983028703632,0.26454786046368,0.36363058705174,0.47516161930366,0.59501280692565,0.64203412727498,0.72222406944828
"AIM/Enduse[Japan]","Baseline","Japan","Secondary Energy|Electricity|Gas","PWh/yr",0.233871117,0.2945,0.41742327449291,0.30984739001621,0.29636924729411,0.2939510294537,0.28626548399053,0.22822824688885,0.21664433953287,0.1960321310612
"AIM/Enduse[Japan]","Baseline","Japan","Secondary Energy|Electricity|Gas|w/ CCS","PWh/yr",0,0,0,0,0,0,0,0,0,0
"AIM/Enduse[Japan]","Baseline","Japan","Secondary Energy|Electricity|Gas|w/o CCS","PWh/yr",0.233871117,0.2945,0.41742327449291,0.30984739001621,0.29636924729411,0.2939510294537,0.28626548399053,0.22822824688885,0.21664433953287,0.1960321310612
"AIM/Enduse[Japan]","Baseline","Japan","Secondary Energy|Electricity|Geothermal","PWh/yr",0,0,0.00311424156725,0.00278108112079,0.00696057359637,0.0103126883917,0.01368662653313,0.01742461236577,0.02035125188003,0.02160373407695
"AIM/Enduse[Japan]","Baseline","Japan","Secondary Energy|Electricity|Hydro","PWh/yr",0.071377228,0.0773,0.09868542196982,0.09868542196982,0.11509617455972,0.1190366677441,0.1190366677441,0.1190366677441,0.1190366677441,0.1190367056579
"AIM/Enduse[Japan]","Baseline","Japan","Secondary Energy|Electricity|Non-Biomass Renewables","PWh/yr",0.18738803,0.1641,0.21566870065878,0.17863235115284,0.18728509547117,0.13044517631305,0.13295524756782,0.13672779834196,0.13965823251588,0.14109652165203
"AIM/Enduse[Japan]","Baseline","Japan","Secondary Energy|Electricity|Nuclear","PWh/yr",0.304754543,0.2882,0.04850065370932,0.19098383982301,0.17008559530435,0.13011612232655,0.06215855461928,0.03324317966057,0.01972645254104,0
"AIM/Enduse[Japan]","Baseline","Japan","Secondary Energy|Electricity|Ocean","PWh/yr",0,0,0,0,0,0,0.00427125246615,0.00618174720029,0.00747002609527,0.01025113630269
"AIM/Enduse[Japan]","Baseline","Japan","Secondary Energy|Electricity|Oil","PWh/yr",0.107225619,0.0753,0.11386903712171,0.07716584806223,0.06522834731508,0.00109582017725,0.00023195329059,0.00026651823209,0.00027031289175,0.00045608191718
"AIM/Enduse[Japan]","Baseline","Japan","Secondary Energy|Electricity|Other","PWh/yr",0.008785183,0.0115,0,0,0,0,0,0,0,0
"AIM/Enduse[Japan]","Baseline","Japan","Secondary Energy|Electricity|Solar","PWh/yr",0,0,0.00382190542382,0.01587797853341,0.03556011856475,0.04477479732703,0.04439396027707,0.04612931218885,0.0552031640836,0.05549195149784
"AIM/Enduse[Japan]","Baseline","Japan","Secondary Energy|Electricity|Solar|CSP","PWh/yr",0,0,0,0,0,0,0,0,0,0
"AIM/Enduse[Japan]","Baseline","Japan","Secondary Energy|Electricity|Solar|PV","PWh/yr",0,0,0.00382190542382,0.01587797853341,0.03556011856475,0.04477479732703,0.04439396027707,0.04612931218885,0.0552031640836,0.05549195149784
"AIM/Enduse[Japan]","Baseline","Japan","Secondary Energy|Electricity|Wind","PWh/yr",0,0,0.00578800214126,0.01029521382824,0.01847187972369,0.02761007960597,0.04944123276215,0.0754298392299,0.10339576248085,0.13051405547651
"AIM/Enduse[Japan]","Baseline","Japan","Secondary Energy|Gases","EJ/yr",1.08978046329951,1.23824425146565,1.00883839718848,0.969859440349465,0.95095724736911,0.959101404882284,0.829038450383054,0.656313415863683,0.539081866677732,0.464615159391343
"AIM/Enduse[Japan]","Baseline","Japan","Secondary Energy|Heat","EJ/yr",0.30994079942297,0.160566061201851,0.123837846175478,0.0982034021391674,0.0693338909942721,0.0478363574690975,0.0270134548455845,0.0117745611375776,0.00476816585916132,0
"AIM/Enduse[Japan]","Baseline","Japan","Secondary Energy|Hydrogen","EJ/yr",0,0,0,0,0.0001271348741124,0.00134770594490064,0.0107272894292003,0.0184765956137928,0.0221447539722611,0.0223140242229577
"AIM/Enduse[Japan]","Baseline","Japan","Secondary Energy|Liquids","EJ/yr",8.19429442905104,7.16154372327626,6.68578463239921,6.55762487022532,6.42345597658289,6.16741540199209,5.61258526220645,4.9861273649936,4.59373576338366,4.36843260948089
"AIM/Enduse[Japan]","Baseline","Japan","Secondary Energy|Liquids|Biomass","EJ/yr",0,0,0,0,0,0,0,0,0,0
"AIM/Enduse[Japan]","Baseline","Japan","Secondary Energy|Liquids|Coal","EJ/yr",0,0,0,0,0,0,0,0,0,0
"AIM/Enduse[Japan]","Baseline","Japan","Secondary Energy|Liquids|Gas","EJ/yr",0,0,0,0,0,0,0,0,0,0
"AIM/Enduse[Japan]","Baseline","Japan","Secondary Energy|Liquids|Oil","EJ/yr",8.19429442905104,7.16154372327626,6.68578463239921,6.55762487022532,6.42345597658289,6.16741540199209,5.61258526220645,4.9861273649936,4.59373576338366,4.36843260948089
"AIM/Enduse[Japan]","Baseline","Japan","Secondary Energy|Liquids|Other","EJ/yr",0,0,0,0,0,0,0,0,0,0
"AIM/Enduse[Japan]","Baseline","Japan","Additional Total Energy System Cost per GDP","",0,0,0,0,0,0,0,0,0,0
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Emissions|CO2|Carbon Capture and Storage","Mt CO2/yr",0,0,0,0,0,0,25.00000005529,50.00000263681,100.00000178455,144.79171679864
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Emissions|CO2|Carbon Capture and Storage|Biomass","Mt CO2/yr",0,0,0,0,0,0,0,0,0,0
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Emissions|CO2|Fossil Fuels and Industry","Mt CO2/yr",1273.90104850802,1184.24394543609,1237.87513290714,1125.51215638831,1063.21322364753,972.13744096141,840.60613722977,762.27408273747,629.23758377128,553.02133767372
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Emissions|CO2|Fossil Fuels and Industry|Energy Demand","Mt CO2/yr",800.550594428508,704.194265653537,649.450725497046,639.115996811659,618.520916405231,583.352620320296,503.652769522682,436.507569344367,378.127158043178,319.678133611204
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Agriculture","Mt CO2/yr",0,0,0,0,0,0,0,0,0,0
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Commercial","Mt CO2/yr",109.061257829154,73.8507338004832,91.9935526818085,87.2694539535046,83.5331164963659,79.0022374487756,69.5976092772539,57.5708390731647,48.9417298173233,41.5238965363378
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Industry","Mt CO2/yr",389.602765101777,352.331741262571,295.703043776063,294.223547194114,286.880993123766,282.695599980657,245.112404068002,217.20607414188,187.910803445458,151.706104014935
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Residential","Mt CO2/yr",69.6137799975603,62.883340161971,53.0009038417747,48.2764888570132,41.4371859433146,31.9031948020114,23.0284553111595,16.7211709604791,12.4947681353731,8.66008561271939
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Residential and Commercial","Mt CO2/yr",178.675037826714,136.734073962454,144.994456523583,135.545942810518,124.970302439681,110.905432250787,92.6260645884134,74.2920100336438,61.4364979526964,50.1839821490572
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Transportation","Mt CO2/yr",232.272791500018,215.128450428512,208.7532251974,209.346506807028,206.669620841785,189.751588088852,165.914300866267,145.009485168843,128.779856645023,117.788047447211
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Emissions|CO2|Fossil Fuels and Industry|Energy Supply","Mt CO2/yr",418.468592488547,434.564066052254,542.427921021344,441.630955656171,401.048821215979,346.270877369544,298.742826807088,293.006083725463,223.617885703392,211.042377159147
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Emissions|CO2|Fossil Fuels and Industry|Energy Supply|Electricity","Mt CO2/yr",373.482855073089,376.12814760577,484.2929232,386.6788467,349.512294,296.8529854,254.2654998,255.172044,191.20104820196,182.26510968479
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Energy Service|Industry|Cement Production","Mt/yr",73.931,56.05100001,60.7915625,59.05437499,57.3171875,55.58000001,52.92114643,50.83351798,49.0608278,47.41635056
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Energy Service|Industry|Crude Steel Production","Mt/yr",112.717676,110.79286001,110.47834031,113.65222688,116.82611343,119.99999999,111.24999998,102.49999999,93.75000001,85
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Final Energy","EJ/yr",15.5044165580602,14.5492661819248,13.8767965699166,13.7199883589686,13.4445640580987,12.9236957508315,12.0428904036681,11.2311428017678,10.6646521220782,10.2107102357974
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Final Energy|Commercial","EJ/yr",2.87679143923966,2.483850775118,2.43133206538799,2.38141499366636,2.34762306369183,2.30247801375316,2.18356586123169,2.04982605149157,1.99882179314049,1.99596264601802
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Final Energy|Electricity","EJ/yr",3.64061209681175,3.7058007207631,3.62633269954654,3.65912025310796,3.66931660427994,3.66416311110136,3.72621232282265,3.84571377349741,3.97439315091386,4.06742482280503
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Final Energy|Gases","EJ/yr",1.08978046329951,1.23824425146565,1.00883839718848,0.992959283629637,0.951609965616807,0.931520780012204,0.825183819494234,0.680847919813193,0.569970118959713,0.474251546190233
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Final Energy|Geothermal","EJ/yr",0,0,0,0,0,0,0,0,0,0
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Final Energy|Heat","EJ/yr",0.30994079942297,0.160566061201851,0.123837846175478,0.0978089218431674,0.0629012620306012,0.0443786363021812,0.0167051180394475,0.00655774538234076,0.0031909555356048,0
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Final Energy|Hydrogen","EJ/yr",0,0,0,0,0.0004080893889168,0.00134770594490064,0.0107272894292003,0.0238461084407189,0.0438179096562934,0.0553673479897566
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Final Energy|Industry","EJ/yr",7.1560405908611,6.85642923815247,6.55527122159828,6.50242771977341,6.39854214339876,6.31439233471353,5.91690424763268,5.50290556337296,5.18044189986491,4.90287568157501
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Final Energy|Liquids","EJ/yr",8.19429442905104,7.16154372327626,6.68578463239921,6.50597738232526,6.25975811695734,5.76290268186461,5.16766685789537,4.62897603841039,4.21842761727645,3.92229009248178
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Final Energy|Other","EJ/yr",0.227764586790946,0.374443704851318,0.482021802729795,0.491120819824024,0.517758315676518,0.523430437081697,0.526272919437418,0.510731250230141,0.505668494040589,0.518876264409029
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Final Energy|Residential","EJ/yr",2.11258531625779,2.08795516139087,1.8560371634409,1.79505452561008,1.69050770168508,1.5232096210531,1.47497192420447,1.48530982729439,1.49428741256107,1.46562864973625
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Final Energy|Residential and Commercial","EJ/yr",4.98937675549745,4.57180593650887,4.28736922882888,4.17646951927645,4.03813076537691,3.82568763480626,3.65853778543616,3.53513587878596,3.49310920570156,3.46159129575426
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Final Energy|Solar","EJ/yr",0.0329950149024495,0.0272963407143433,0.010972875648299,0.00240145111931544,0.00570824467596504,0.0183754326583426,0.0202481040155465,0.0194371519873352,0.0171980414057786,0.013740792930257
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Final Energy|Solids","EJ/yr",2.00902916778155,1.8813713796523,1.93900831622881,1.97060024711927,1.97710345947263,1.97757696586615,1.74987397253425,1.51503281400627,1.33198583428994,1.15875936899134
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Final Energy|Solids|Biomass","EJ/yr",0.107142195271983,0.111348222538744,0.0907067354508025,0.0911834571153057,0.0913074611535504,0.0896975020073829,0.0951828468318046,0.0889230994816889,0.0811478034869817,0.0745646827275231
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Final Energy|Solids|Biomass|Traditional","EJ/yr",0,0,0,0,0,0,0,0,0,0
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Final Energy|Solids|Coal","EJ/yr",1.90188697250957,1.77002315711356,1.84830158077801,1.87941679000396,1.88579599831907,1.88787946385876,1.65469112570244,1.42610971452458,1.25083803080296,1.08419468626381
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Final Energy|Transportation","EJ/yr",3.35899921170168,3.12103100726348,3.03415611948944,3.04109111991877,3.00789114932304,2.78361578131167,2.46744837059928,2.19310135960889,1.99110101651176,1.84624325846815
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","GDP|MER","billion US$2005/yr",4571.867,4619.32478203538,4830.58488592616,5322.43041566673,5887.81373711033,6405.58539593361,6956.48474112608,7433.61110161841,7884.01795105502,8285.22880788884
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Policy Cost|Additional Total Energy System Cost","billion US$2005/yr",0,0,11.1448837981638,36.1288725533126,10.2489647959486,67.4983095058092,65.3582382082331,19.9037910804778,84.2794050400816,99.2681129394846
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Population","million",127.766,128.058,126.5973,124.09993,120.65882,116.61766,112.12357,107.27585,102.21044,97.07578
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Price|Carbon","US$2005/t CO2",0,0,0,54.8994002460772,109.798800492154,164.698200738231,122.915159664247,81.1321185902618,81.1321185902618,81.1321185902618
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Price|Primary Energy|Coal","US$2005/GJ",2.82827428992932,3.82197379608178,4.09941126915938,4.93214385884481,5.12747628889807,5.27397561143802,5.37164182646465,5.46930804149128,5.56697425651791,5.66464047154454
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Price|Primary Energy|Gas","US$2005/GJ",6.85389834130593,9.2176162713532,15.602908519996,13.6337705143887,13.7284494762941,13.8231284381996,14.2018442858215,14.4858811715379,14.8645970191599,15.0539549429708
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Price|Primary Energy|Oil","US$2005/GJ",10.41855694549,11.9033248283197,16.5825605389733,19.1780862777967,20.2054837569644,21.0616483229375,21.9178128889105,22.602744541689,23.1164432812728,23.458909107662
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Primary Energy","EJ/yr",19.8246674322726,19.2204842852906,18.9563690437545,17.8243364945944,17.2737356664828,16.2952094043753,14.8943742278468,13.9844711905352,13.0631302147749,12.6146771191303
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Primary Energy|Biomass","EJ/yr",0.230826363746299,0.34688652160621,0.192561729188633,0.182797158534369,0.292540175654231,0.290533004346835,0.190421995906561,0.14100595813888,0.127765564105517,0.1165702899733
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Primary Energy|Biomass|w/ CCS","EJ/yr",0,0,0,0,0,0,0,0,0,0
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Primary Energy|Biomass|w/o CCS","EJ/yr",0.230826363746299,0.34688652160621,0.192561729188633,0.182797158534369,0.292540175654231,0.290533004346835,0.190421995906561,0.14100595813888,0.127765564105517,0.1165702899733
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Primary Energy|Coal","EJ/yr",4.6442877063117,4.85697192179116,4.76300589905946,4.77134359517783,4.67880524388495,4.15047852870865,3.8382037078058,4.10536567167634,3.81994153251208,3.87363045287937
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Primary Energy|Coal|w/ CCS","EJ/yr",0,0,0,0,0,0,0.166929833544827,0.364782494866558,0.840205460948356,1.31156885621679
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Primary Energy|Coal|w/o CCS","EJ/yr",4.6442877063117,4.85697192179116,4.76300589905946,4.77134359517783,4.67880524388495,4.15047852870865,3.67127387426097,3.74058317680978,2.97973607156372,2.56206159666257
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Primary Energy|Gas","EJ/yr",3.05446696145257,3.81927691754337,4.32807809556865,3.39569529973814,3.29654156058844,3.31857520678646,2.77834127889517,2.14699351680458,1.72216847283294,1.47933445415781
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Primary Energy|Gas|w/ CCS","EJ/yr",0,0,0,0,0,0,0.067958684798653,0.140596491339329,0.148381655838573,0.0992390986085851
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Primary Energy|Gas|w/o CCS","EJ/yr",3.05446696145257,3.81927691754337,4.32807809556865,3.39569529973814,3.29654156058844,3.31857520678646,2.71038259409651,2.00639702546525,1.57378681699437,1.38009535554923
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Primary Energy|Geothermal","EJ/yr",0.0112691037668817,0.00905320877557344,0.01260106555104,0.01125300806064,0.0294365150048411,0.0438127888065016,0.0640620825412939,0.0830392304935113,0.0994720818570886,0.114632785676955
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Primary Energy|Hydro","EJ/yr",0.267149247283006,0.281215795724169,0.355957033624888,0.355957033624888,0.40975135341192,0.438837463863776,0.447128560159429,0.447128560159429,0.447128560159429,0.447128560159429
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Primary Energy|Non-Biomass Renewables","EJ/yr",0.295216728200034,0.311895591043429,0.407273321835589,0.504747391229168,0.641024867512898,0.79653647250048,1.05748503373369,1.24876702948768,1.55939170968099,1.8281675112818
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Primary Energy|Nuclear","EJ/yr",1.06466249887099,0.985937101492745,0.183527254232735,0.76620774392208,0.8478581414184,0.86886529151328,0.87940799388144,0.8659666710648,0.8659666710648,0.6889223399832
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Primary Energy|Ocean","EJ/yr",0,0,0,0,0,0,0.0300467773621941,0.0597429385663447,0.0809481860225279,0.0994946234474447
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Primary Energy|Oil","EJ/yr",10.1617151162386,8.37861857543688,8.50690397931599,7.62231112969166,6.91356036984198,6.26417125958251,5.5481623293521,4.90068307187774,4.40621255929708,4.0587875293369
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Primary Energy|Oil|w/ CCS","EJ/yr",0,0,0,0,0,0,0,0,0,0
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Primary Energy|Oil|w/o CCS","EJ/yr",10.1617151162386,8.37861857543688,8.50690397931599,7.62231112969166,6.91356036984198,6.26417125958251,5.5481623293521,4.90068307187774,4.40621255929708,4.0587875293369
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Primary Energy|Other","EJ/yr",0.373492057452368,0.520897656376776,0.575018764553434,0.581234176301182,0.603405307581947,0.606049640937127,0.602351888272037,0.575689271485148,0.561683705281441,0.569264541517971
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Primary Energy|Solar","EJ/yr",0.0106804232950323,0.00807564028988981,0.0178786545432676,0.100062732379254,0.135693948413385,0.203554021849095,0.244705516869707,0.263838566197689,0.398115980210871,0.500930311316332
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Primary Energy|Wind","EJ/yr",0.00611795385511391,0.013550946253797,0.0208365681163939,0.0374746171643863,0.0661430506827528,0.110332197981107,0.271542096801062,0.395017734070708,0.533726901431074,0.665981230681642
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Secondary Energy|Electricity","PWh/yr",0.97895636,0.9979,0.96304631037134,0.97308021863816,0.97966606088805,0.98126485214194,1.01519683596262,1.07253545418437,1.13385652892161,1.1794576516116
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Secondary Energy|Electricity|Biomass","PWh/yr",0,0,0.00139048004369,0.00095305870574,0.00607850545733,0.00607849332724,0.00153126269396,0,0,0
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Secondary Energy|Electricity|Biomass|w/ CCS","PWh/yr",0,0,0,0,0,0,0,0,0,0
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Secondary Energy|Electricity|Biomass|w/o CCS","PWh/yr",0,0,0.00139048004369,0.00095305870574,0.00607850545733,0.00607849332724,0.00153126269396,0,0,0
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Secondary Energy|Electricity|Coal","PWh/yr",0.25294267,0.2511,0.27045433520524,0.26983028703632,0.26454381459602,0.21562144029298,0.21678483937643,0.28790863711184,0.29892268627227,0.3323671934676
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Secondary Energy|Electricity|Coal|w/ CCS","PWh/yr",0,0,0,0,0,0,0.01279697766934,0.0461044685899,0.10812343554141,0.15353322004091
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Secondary Energy|Electricity|Coal|w/o CCS","PWh/yr",0.25294267,0.2511,0.27045433520524,0.26983028703632,0.26454381459602,0.21562144029298,0.20398786170709,0.24180416852194,0.19079925073086,0.17883397342669
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Secondary Energy|Electricity|Gas","PWh/yr",0.233871117,0.2945,0.417610338891,0.30843921135711,0.29636924729411,0.30905800772041,0.272451528961,0.21050894182515,0.17438735877312,0.15815027016967
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Secondary Energy|Electricity|Gas|w/ CCS","PWh/yr",0,0,0,0,0,0,0.01356821688602,0.02146406385944,0.02293534445624,0.01424620411106
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Secondary Energy|Electricity|Gas|w/o CCS","PWh/yr",0.233871117,0.2945,0.417610338891,0.30843921135711,0.29636924729411,0.30905800772041,0.25888331207498,0.18904487796571,0.15145201431688,0.14390406605861
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Secondary Energy|Electricity|Geothermal","PWh/yr",0,0,0.00311424156725,0.00278108112079,0.00727497355027,0.01082794223698,0.01583237558217,0.02052240896183,0.02458364243369,0.0283304849649
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Secondary Energy|Electricity|Hydro","PWh/yr",0.071377228,0.0773,0.09868542196982,0.09868542196982,0.11362876388031,0.12170849727291,0.12401165311519,0.12401165311519,0.12401165311519,0.1240116926223
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Secondary Energy|Electricity|Non-Biomass Renewables","PWh/yr",0.18738803,0.1641,0.21505474482941,0.15126265706429,0.13077616142616,0.13337621817773,0.14002685642601,0.14514718905955,0.14949483056395,0.15403634602915
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Secondary Energy|Electricity|Nuclear","PWh/yr",0.304754543,0.2882,0.04892650383692,0.20426322907825,0.22603036424815,0.23163068244959,0.23444123524642,0.23085793619425,0.23085793619425,0.18365976081907
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Secondary Energy|Electricity|Ocean","PWh/yr",0,0,0,0,0,0,0.00834668458633,0.01659597149307,0.02248657055194,0.02763863241897
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Secondary Energy|Electricity|Oil","PWh/yr",0.107225619,0.0753,0.11325508129234,0.04979615397368,0.00987242399558,0.00083977866784,0.00018282772865,0.00061312698253,0.00089953501507,0.00169416844195
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Secondary Energy|Electricity|Other","PWh/yr",0.008785183,0.0115,0,0,0,0,0,0,0,0
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Secondary Energy|Electricity|Solar","PWh/yr",0,0,0.00382190542382,0.02792212470584,0.0374949184521,0.05485227106213,0.0661860034296,0.07178945527639,0.10944940449845,0.13861054297733
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Secondary Energy|Electricity|Solar|CSP","PWh/yr",0,0,0,0,0,0,0,0,0,0
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Secondary Energy|Electricity|Solar|PV","PWh/yr",0,0,0.00382190542382,0.02792212470584,0.0374949184521,0.05485227106213,0.0661860034296,0.07178945527639,0.10944940449845,0.13861054297733
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Secondary Energy|Electricity|Wind","PWh/yr",0,0,0.00578800214126,0.01040965069061,0.01837304941418,0.03064773911186,0.07542842524287,0.10972732322412,0.14825774206763,0.18499490572981
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Secondary Energy|Gases","EJ/yr",1.08978046329951,1.23824425146565,1.00883839718848,0.992959283629637,0.951609965616807,0.931520780012204,0.825183819494234,0.680847919813193,0.569970118959713,0.474251546190233
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Secondary Energy|Heat","EJ/yr",0.30994079942297,0.160566061201851,0.123837846175478,0.0978089218431674,0.0629012620306012,0.0443786363021812,0.0167051180394475,0.00655774538234076,0.0031909555356048,0
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Secondary Energy|Hydrogen","EJ/yr",0,0,0,0,0.0004080893889168,0.00134770594490064,0.0107272894292003,0.0238461084407189,0.0438179096562934,0.0553673479897566
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Secondary Energy|Liquids","EJ/yr",8.19429442905104,7.16154372327626,6.68578463239921,6.50597738232526,6.25975811695734,5.76290268186461,5.16766685789537,4.62897603841039,4.21842761727645,3.92229009248178
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Secondary Energy|Liquids|Biomass","EJ/yr",0,0,0,0,0,0.00195979999995576,0.00195979999995576,0.00195979999995576,0.00195979999995576,0.00195979999995576
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Secondary Energy|Liquids|Coal","EJ/yr",0,0,0,0,0,0,0,0,0,0
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Secondary Energy|Liquids|Gas","EJ/yr",0,0,0,0,0,0,0,0,0,0
"AIM/Enduse[Japan]","NDC&2050-50%","Japan","Secondary Energy|Liquids|Oil","EJ/yr",8.19429442905104,7.16154372327626,6.68578463239921,6.50597738232526,6.25975811695734,5.76094288186466,5.16570705789542,4.62701623841044,4.21646781727649,3.92033029248183
