"MODEL","SCENARIO","REGION","VARIABLE","UNIT","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050"
"AIM/CGE","Baseline","Japan","Primary Energy|Biomass|w/o CCS","EJ/yr",0.2861,0.267,0.3387,0.367,0.3926,0.4215,0.4528,0.4781,0.5051,0.5362
"AIM/CGE","Baseline","Japan","Primary Energy|Coal","EJ/yr",4.7603,4.7202,5.2576,4.7831,4.6972,4.756,4.8465,4.8424,4.8293,4.8658
"AIM/CGE","Baseline","Japan","Primary Energy|Coal|w/o CCS","EJ/yr",4.7603,4.7202,5.2576,4.7831,4.6972,4.756,4.8465,4.8424,4.8293,4.8658
"AIM/CGE","Baseline","Japan","Primary Energy|Gas","EJ/yr",2.9401,2.9279,3.3874,3.0128,2.9526,2.972,2.9556,2.8479,2.7272,2.6211
"AIM/CGE","Baseline","Japan","Primary Energy|Gas|w/o CCS","EJ/yr",2.9401,2.9279,3.3874,3.0128,2.9526,2.972,2.9556,2.8479,2.7272,2.6211
"AIM/CGE","Baseline","Japan","Primary Energy|Geothermal","EJ/yr",0.012,0.0116,0.0124,0.013,0.0129,0.013,0.0131,0.0129,0.0126,0.0124
"AIM/CGE","Baseline","Japan","Primary Energy|Hydro","EJ/yr",0.2868,0.3031,0.3241,0.3451,0.3548,0.3645,0.3839,0.3774,0.369,0.3647
"AIM/CGE","Baseline","Japan","Primary Energy|Non-Biomass Renewables","EJ/yr",0.305,0.3455,0.4095,0.4651,0.5302,0.6197,0.7348,0.8421,0.9786,1.0801
"AIM/CGE","Baseline","Japan","Primary Energy|Nuclear","EJ/yr",1.0678,0.9888,0.1825,0.7185,0.6399,0.4895,0.2338,0.1251,0.0742,0.0201
"AIM/CGE","Baseline","Japan","Primary Energy|Oil","EJ/yr",10.2953,9.9691,10.2786,10.0521,10.0423,10.1145,10.1354,10.0454,9.8568,9.648
"AIM/CGE","Baseline","Japan","Primary Energy|Oil|w/o CCS","EJ/yr",10.2953,9.9691,10.2786,10.0521,10.0423,10.1145,10.1354,10.0454,9.8568,9.648
"AIM/CGE","Baseline","Japan","Primary Energy|Solar","EJ/yr",0,0.0178,0.0358,0.0476,0.0671,0.0939,0.1273,0.1624,0.2047,0.2401
"AIM/CGE","Baseline","Japan","Primary Energy|Wind","EJ/yr",0.0062,0.013,0.0371,0.0594,0.0954,0.1483,0.2105,0.2895,0.3923,0.4628
"AIM/CGE","Baseline","Japan","Secondary Energy|Electricity","PWh/yr",1.06505555555556,1.09422222222222,1.05836111111111,1.13105555555556,1.13408333333333,1.14766666666667,1.13919444444444,1.14377777777778,1.16822222222222,1.19047222222222
"AIM/CGE","Baseline","Japan","Secondary Energy|Electricity|Biomass","PWh/yr",0.0224166666666667,0.0214722222222222,0.0228055555555556,0.0238888888888889,0.0244444444444444,0.0247777777777778,0.0253055555555556,0.0250833333333333,0.0247222222222222,0.0245833333333333
"AIM/CGE","Baseline","Japan","Secondary Energy|Electricity|Biomass|w/o CCS","PWh/yr",0.0224166666666667,0.0214722222222222,0.0228055555555556,0.0238888888888889,0.0244444444444444,0.0247777777777778,0.0253055555555556,0.0250833333333333,0.0247222222222222,0.0245833333333333
"AIM/CGE","Baseline","Japan","Secondary Energy|Electricity|Coal","PWh/yr",0.287916666666667,0.315472222222222,0.395,0.36175,0.36975,0.388722222222222,0.410944444444444,0.422694444444444,0.433305555555556,0.449194444444444
"AIM/CGE","Baseline","Japan","Secondary Energy|Electricity|Coal|w/o CCS","PWh/yr",0.287916666666667,0.315472222222222,0.395,0.36175,0.36975,0.388722222222222,0.410944444444444,0.422694444444444,0.433305555555556,0.449194444444444
"AIM/CGE","Baseline","Japan","Secondary Energy|Electricity|Gas","PWh/yr",0.257055555555556,0.262361111111111,0.319833333333333,0.273611111111111,0.267194444444444,0.26975,0.268055555555556,0.25625,0.2435,0.232555555555556
"AIM/CGE","Baseline","Japan","Secondary Energy|Electricity|Gas|w/o CCS","PWh/yr",0.257055555555556,0.262361111111111,0.319833333333333,0.273611111111111,0.267194444444444,0.26975,0.268055555555556,0.25625,0.2435,0.232555555555556
"AIM/CGE","Baseline","Japan","Secondary Energy|Electricity|Geothermal","PWh/yr",0.00333333333333333,0.00322222222222222,0.00344444444444444,0.00361111111111111,0.00358333333333333,0.00361111111111111,0.00363888888888889,0.00358333333333333,0.0035,0.00344444444444444
"AIM/CGE","Baseline","Japan","Secondary Energy|Electricity|Hydro","PWh/yr",0.0796666666666667,0.0841944444444444,0.0900277777777778,0.0958611111111111,0.0985555555555555,0.10125,0.106638888888889,0.104833333333333,0.1025,0.101305555555556
"AIM/CGE","Baseline","Japan","Secondary Energy|Electricity|Non-Biomass Renewables","PWh/yr",0.0847222222222222,0.0959722222222222,0.11375,0.129194444444444,0.147277777777778,0.172138888888889,0.204111111111111,0.233916666666667,0.271833333333333,0.300027777777778
"AIM/CGE","Baseline","Japan","Secondary Energy|Electricity|Nuclear","PWh/yr",0.296611111111111,0.274666666666667,0.0506944444444444,0.199583333333333,0.17775,0.135972222222222,0.0649444444444444,0.03475,0.0206111111111111,0.00558333333333333
"AIM/CGE","Baseline","Japan","Secondary Energy|Electricity|Oil","PWh/yr",0.116333333333333,0.124277777777778,0.156305555555556,0.143,0.147694444444444,0.15625,0.165805555555556,0.171111111111111,0.174277777777778,0.178527777777778
"AIM/CGE","Baseline","Japan","Secondary Energy|Electricity|Solar","PWh/yr",0,0.00494444444444444,0.00994444444444444,0.0132222222222222,0.0186388888888889,0.0260833333333333,0.0353611111111111,0.0451111111111111,0.0568611111111111,0.0666944444444444
"AIM/CGE","Baseline","Japan","Secondary Energy|Electricity|Wind","PWh/yr",0.00172222222222222,0.00361111111111111,0.0103055555555556,0.0165,0.0265,0.0411944444444444,0.0584722222222222,0.0804166666666667,0.108972222222222,0.128555555555556
"AIM/CGE","Baseline","Japan","Secondary Energy|Gases","EJ/yr",1.1677,1.1147,1.1666,1.1197,1.1046,1.1057,1.1011,1.0764,1.0448,1.0151
"AIM/CGE","Baseline","Japan","Secondary Energy|Heat","EJ/yr",0.03,0.03,0.0347,0.0321,0.032,0.0323,0.0325,0.0315,0.0305,0.0297
"AIM/CGE","Baseline","Japan","Secondary Energy|Liquids","EJ/yr",8.3511,8.1041,8.3755,8.2643,8.2992,8.3929,8.434,8.3848,8.2653,8.1342
"AIM/CGE","Baseline","Japan","Secondary Energy|Liquids|Biomass","EJ/yr",0,0,0.0317,0.0446,0.0576,0.0714,0.0862,0.1011,0.1175,0.1347
"AIM/CGE","Baseline","Japan","Secondary Energy|Liquids|Oil","EJ/yr",8.3511,8.1041,8.3438,8.2197,8.2416,8.3214,8.3479,8.2837,8.1478,7.9995
"AIM/CGE","NDC&2050-50%","Japan","Consumption","billion US$2005/yr",3332.6753,3320.9196,3539.9887,3721.4517,3919.1845,4095.057,4240.4797,4348.2113,4460.4156,4517.5447
"AIM/CGE","NDC&2050-50%","Japan","Emissions|CO2|Carbon Capture and Storage","Mt CO2/yr",0,0,0,0,1.9424,26.3203,88.4457,138.3479,173.0172,257.6428
"AIM/CGE","NDC&2050-50%","Japan","Emissions|CO2|Fossil Fuels and Industry","Mt CO2/yr",1344.8901,1316.1945,1322.5877,1272.728,1154.6165,1011.2314,965.0148,887.4604,802.7466,569.3508
"AIM/CGE","NDC&2050-50%","Japan","Emissions|CO2|Fossil Fuels and Industry|Energy Demand","Mt CO2/yr",775.6854,724.229,666.5108,671.0098,614.7712,559.8973,583.0129,573.34,543.8083,395.8264
"AIM/CGE","NDC&2050-50%","Japan","Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Agriculture","Mt CO2/yr",11.8112,11.5073,10.4702,10.245,9.2798,8.4276,8.2227,7.7951,7.2203,5.5421
"AIM/CGE","NDC&2050-50%","Japan","Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Industry","Mt CO2/yr",325.0218,290.1718,240.2372,233.0427,190.7706,158.313,159.8502,151.9423,139.168,90.6209
"AIM/CGE","NDC&2050-50%","Japan","Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Residential and Commercial","Mt CO2/yr",186.6223,175.359,173.5026,172.9833,164.2186,153.7363,165.6504,166.1811,158.779,118.0557
"AIM/CGE","NDC&2050-50%","Japan","Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Transportation","Mt CO2/yr",252.2301,247.1909,242.3009,254.7388,250.5021,239.4203,249.2896,247.4215,238.641,181.6077
"AIM/CGE","NDC&2050-50%","Japan","Emissions|CO2|Fossil Fuels and Industry|Energy Supply","Mt CO2/yr",512.1683,536.2244,618.0263,560.3672,503.683,418.0111,348.3496,281.067,226.8604,145.5899
"AIM/CGE","NDC&2050-50%","Japan","Emissions|CO2|Fossil Fuels and Industry|Energy Supply|Electricity","Mt CO2/yr",401.8424,429.2456,511.5766,453.4295,401.4739,323.2343,253.5222,190.5621,143.3009,92.8666
"AIM/CGE","NDC&2050-50%","Japan","Emissions|CO2|Fossil Fuels and Industry|Industrial Processes","Mt CO2/yr",57.0365,55.7412,38.0506,41.351,36.1623,33.323,33.6524,33.0534,32.078,27.9345
"AIM/CGE","NDC&2050-50%","Japan","Emissions|Kyoto Gases","Mt CO2-equiv/yr",1456.0859,1465.384,1469.4623,1435.6553,1248.7344,1061.8631,1016.9527,925.7831,837.3677,594.0538
"AIM/CGE","NDC&2050-50%","Japan","Final Energy","EJ/yr",14.3179,13.7846,13.1433,13.4891,12.9526,12.4078,12.5506,12.3495,11.9831,9.9919
"AIM/CGE","NDC&2050-50%","Japan","Final Energy|Commercial","EJ/yr",2.7609,2.6823,2.5631,2.6636,2.5528,2.4551,2.4653,2.4146,2.3406,1.9287
"AIM/CGE","NDC&2050-50%","Japan","Final Energy|Electricity","EJ/yr",3.4475,3.5437,3.4036,3.6604,3.7008,3.7623,3.5254,3.4134,3.4278,3.4542
"AIM/CGE","NDC&2050-50%","Japan","Final Energy|Gases","EJ/yr",1.1678,1.1156,1.1911,1.1216,1.112,1.1071,1.1243,1.1089,1.0763,0.9823
"AIM/CGE","NDC&2050-50%","Japan","Final Energy|Heat","EJ/yr",0.0245,0.0252,0.0241,0.0262,0.0264,0.0269,0.0255,0.0248,0.0249,0.0245
"AIM/CGE","NDC&2050-50%","Japan","Final Energy|Industry","EJ/yr",5.7814,5.3937,4.8775,4.8347,4.4126,4.0913,4.0437,3.9012,3.7104,3.0326
"AIM/CGE","NDC&2050-50%","Japan","Final Energy|Liquids","EJ/yr",8.3003,7.9503,7.7723,7.9492,7.629,7.182,7.5493,7.5116,7.2107,5.4055
"AIM/CGE","NDC&2050-50%","Japan","Final Energy|Residential","EJ/yr",2.2339,2.2468,2.2842,2.3946,2.4343,2.4395,2.478,2.4782,2.4653,2.2814
"AIM/CGE","NDC&2050-50%","Japan","Final Energy|Residential and Commercial","EJ/yr",4.9948,4.9292,4.8473,5.0582,4.9871,4.8946,4.9433,4.8928,4.8059,4.2101
"AIM/CGE","NDC&2050-50%","Japan","Final Energy|Solids","EJ/yr",1.3777,1.1498,0.7522,0.7316,0.4844,0.3295,0.3261,0.2909,0.2433,0.1254
"AIM/CGE","NDC&2050-50%","Japan","Final Energy|Solids|Biomass","EJ/yr",0.1068,0.0951,0.0896,0.0834,0.0778,0.0722,0.0669,0.0615,0.0565,0.0513
"AIM/CGE","NDC&2050-50%","Japan","Final Energy|Solids|Coal","EJ/yr",1.2709,1.0547,0.6626,0.6482,0.4067,0.2573,0.2592,0.2294,0.1868,0.0741
"AIM/CGE","NDC&2050-50%","Japan","Final Energy|Transportation","EJ/yr",3.5416,3.4618,3.4185,3.5962,3.5528,3.4219,3.5636,3.5555,3.4668,2.7492
"AIM/CGE","NDC&2050-50%","Japan","GDP|MER","billion US$2005/yr",4453.0615,4437.4032,4723.9474,4957.2777,5215.5307,5447.0742,5631.3132,5772.3167,5923.1574,6024.5231
"AIM/CGE","NDC&2050-50%","Japan","GDP|PPP","billion US$2005/yr",3788.6466,3775.3246,4019.1152,4217.6316,4437.3522,4634.3485,4791.0983,4911.0635,5039.3982,5125.6397
"AIM/CGE","NDC&2050-50%","Japan","Policy Cost|Consumption Loss","billion US$2005/yr",0,0.0952,7.1132,1.3408,7.9929,22.0772,18.6322,24.0552,34.3786,95.9815
"AIM/CGE","NDC&2050-50%","Japan","Policy Cost|GDP Loss","billion US$2005/yr",0,0.0778,8.5041,3.5507,10.9728,25.5415,25.103,29.9457,38.2071,91.1866
"AIM/CGE","NDC&2050-50%","Japan","Population","million",126.3929,126.5359,126.1045,124.8125,122.8502,120.4098,117.6703,114.7544,111.7079,108.6087
"AIM/CGE","NDC&2050-50%","Japan","Price|Carbon","US$2005/t CO2",0,0,19.6578,8.5717,29.4601,63.7894,54.5052,60.0779,75.293,275.3796
"AIM/CGE","NDC&2050-50%","Japan","Price|Primary Energy|Coal","US$2005/GJ",2.9932,2.8874,2.7851,2.7348,2.6719,2.5372,2.3997,2.2449,2.1283,2.0145
"AIM/CGE","NDC&2050-50%","Japan","Price|Primary Energy|Gas","US$2005/GJ",10.6812,11.0473,11.3494,11.6893,11.7058,11.6524,11.9772,12.6953,13.5512,15.0907
"AIM/CGE","NDC&2050-50%","Japan","Price|Primary Energy|Oil","US$2005/GJ",8.1528,8.0637,7.9957,7.819,7.5555,7.2739,6.9334,6.6194,6.4828,6.4361
"AIM/CGE","NDC&2050-50%","Japan","Price|Secondary Energy|Electricity","US$2005/GJ",50.9911,48.1877,53.2749,47.6238,48.6696,51.1257,53.0028,55.0247,56.5151,74.2301
"AIM/CGE","NDC&2050-50%","Japan","Primary Energy","EJ/yr",19.6547,19.2352,19.1804,19.0941,18.0939,17.0669,17.221,16.9211,16.4089,14.3358
"AIM/CGE","NDC&2050-50%","Japan","Primary Energy|Biomass","EJ/yr",0.2861,0.2676,0.3424,0.3707,0.4104,0.464,0.5137,0.5723,0.6321,0.7371
"AIM/CGE","NDC&2050-50%","Japan","Primary Energy|Biomass|w/ CCS","EJ/yr",0,0,0,0,0,0.0018,0.0136,0.0354,0.0638,0.1815
"AIM/CGE","NDC&2050-50%","Japan","Primary Energy|Biomass|w/o CCS","EJ/yr",0.2861,0.2676,0.3424,0.3707,0.4104,0.4621,0.5001,0.537,0.5682,0.5556
"AIM/CGE","NDC&2050-50%","Japan","Primary Energy|Coal","EJ/yr",4.7603,4.7342,4.6952,4.4272,3.6902,3.0209,3.0291,2.9259,2.7899,2.6591
"AIM/CGE","NDC&2050-50%","Japan","Primary Energy|Coal|w/ CCS","EJ/yr",0,0,0,0,0.0245,0.2202,0.6144,0.9751,1.3115,1.8334
"AIM/CGE","NDC&2050-50%","Japan","Primary Energy|Coal|w/o CCS","EJ/yr",4.7603,4.7342,4.6952,4.4272,3.6657,2.8007,2.4147,1.9508,1.4784,0.8257
"AIM/CGE","NDC&2050-50%","Japan","Primary Energy|Gas","EJ/yr",2.9401,2.9401,3.5427,3.0372,2.9245,2.8086,2.6446,2.4469,2.2651,2.3123
"AIM/CGE","NDC&2050-50%","Japan","Primary Energy|Gas|w/ CCS","EJ/yr",0,0,0,0,0,0.0882,0.3642,0.5057,0.5147,0.8514
"AIM/CGE","NDC&2050-50%","Japan","Primary Energy|Gas|w/o CCS","EJ/yr",2.9401,2.9401,3.5427,3.0372,2.9245,2.7204,2.2804,1.9413,1.7503,1.4609
"AIM/CGE","NDC&2050-50%","Japan","Primary Energy|Geothermal","EJ/yr",0.012,0.0117,0.0124,0.013,0.0137,0.0143,0.0131,0.0124,0.0119,0.0122
"AIM/CGE","NDC&2050-50%","Japan","Primary Energy|Hydro","EJ/yr",0.2868,0.2875,0.3118,0.3362,0.3728,0.4093,0.4495,0.4097,0.4097,0.4097
"AIM/CGE","NDC&2050-50%","Japan","Primary Energy|Non-Biomass Renewables","EJ/yr",0.305,0.3301,0.414,0.5291,0.8847,1.39,1.5439,1.6969,1.8986,1.8993
"AIM/CGE","NDC&2050-50%","Japan","Primary Energy|Nuclear","EJ/yr",1.0678,0.9888,0.1825,0.7185,0.6399,0.4895,0.2338,0.1251,0.0742,0.0201
"AIM/CGE","NDC&2050-50%","Japan","Primary Energy|Oil","EJ/yr",10.2953,9.9743,10.0037,10.0114,9.5442,8.894,9.2559,9.1539,8.749,6.7078
"AIM/CGE","NDC&2050-50%","Japan","Primary Energy|Oil|w/ CCS","EJ/yr",0,0,0,0,0,0.0506,0.2301,0.3465,0.3733,0.6504
"AIM/CGE","NDC&2050-50%","Japan","Primary Energy|Oil|w/o CCS","EJ/yr",10.2953,9.9743,10.0037,10.0114,9.5442,8.8434,9.0258,8.8075,8.3756,6.0575
"AIM/CGE","NDC&2050-50%","Japan","Primary Energy|Solar","EJ/yr",0,0.0179,0.0444,0.0811,0.2157,0.447,0.5633,0.7597,0.9661,0.9664
"AIM/CGE","NDC&2050-50%","Japan","Primary Energy|Wind","EJ/yr",0.0062,0.013,0.0453,0.0987,0.2825,0.5194,0.518,0.515,0.5109,0.511
"AIM/CGE","NDC&2050-50%","Japan","Secondary Energy|Electricity","PWh/yr",1.06505555555556,1.09394444444444,1.04825,1.12711111111111,1.13488888888889,1.14755555555556,1.07533333333333,1.03963888888889,1.04180555555556,1.04752777777778
"AIM/CGE","NDC&2050-50%","Japan","Secondary Energy|Electricity|Biomass","PWh/yr",0.0224166666666667,0.0215555555555556,0.0229166666666667,0.0241666666666667,0.0258055555555556,0.0278055555555556,0.0283888888888889,0.0293611111111111,0.0299444444444444,0.0325833333333333
"AIM/CGE","NDC&2050-50%","Japan","Secondary Energy|Electricity|Biomass|w/ CCS","PWh/yr",0,0,0,0,0,2.77777777777778e-05,0.000222222222222222,0.000666666666666667,0.00125,0.00352777777777778
"AIM/CGE","NDC&2050-50%","Japan","Secondary Energy|Electricity|Biomass|w/o CCS","PWh/yr",0.0224166666666667,0.0215555555555556,0.0229166666666667,0.0241666666666667,0.0258055555555556,0.0278055555555556,0.0281944444444444,0.0286944444444444,0.0286944444444444,0.0290277777777778
"AIM/CGE","NDC&2050-50%","Japan","Secondary Energy|Electricity|Coal","PWh/yr",0.287916666666667,0.317111111111111,0.364611111111111,0.338444444444444,0.289583333333333,0.233138888888889,0.2225,0.207361111111111,0.193888888888889,0.205
"AIM/CGE","NDC&2050-50%","Japan","Secondary Energy|Electricity|Coal|w/ CCS","PWh/yr",0,0,0,0,0.00288888888888889,0.0256388888888889,0.0689722222222222,0.10575,0.137666666666667,0.186555555555556
